'FP1-F7','F7-T7','T7-P7','P7-O1','FP1-F3','F3-C3','C3-P3','P3-O1','FP2-F4','F4-C4','C4-P4','P4-O2','FP2-F8','F8-T8','T8-P8','P8-O2','FZ-CZ','CZ-PZ','P7-T7','T7-FT9','FT9-FT10','FT10-T8','T8-P8'
-15.238,-32.43,18.755,-5.861,-32.43,-6.642,-0.391,5.079,-60.562,14.457,-0.391,-57.436,-57.045,4.689,-9.377,-42.589,-7.814,4.298,-17.973,35.946,2.344,-17.582,-9.377
-28.523,-37.118,11.722,0,-47.277,-7.814,-6.252,7.814,-53.529,13.675,-3.907,-65.641,-50.403,9.377,-16.801,-51.575,-8.596,2.344,-10.94,46.496,1.563,-23.443,-16.801
-19.536,-41.807,10.94,8.987,-38.291,-11.331,-9.377,17.973,-64.86,10.94,-12.112,-67.985,-66.032,18.364,-28.132,-58.608,-10.94,-3.126,-10.159,41.416,21.88,-27.35,-28.132
9.377,-42.198,19.927,9.377,-7.033,-8.596,-3.907,17.582,-78.535,12.112,-13.284,-57.827,-72.674,11.722,-26.96,-49.621,-8.596,0,-19.145,44.542,29.695,-30.867,-26.96
31.258,-38.681,21.88,10.94,16.801,-2.735,-1.172,12.894,-75.8,14.066,-10.94,-58.608,-59.389,1.563,-30.085,-43.37,-8.205,2.344,-21.099,56.654,28.132,-37.509,-30.085
18.364,-34.383,24.225,14.066,9.377,-5.079,-4.689,24.615,-60.952,12.503,-12.894,-62.906,-62.125,14.066,-24.225,-52.747,-14.066,-2.735,-23.443,45.324,23.443,-29.695,-24.225
0.781,-31.258,23.443,19.145,-3.126,-11.331,-7.424,35.556,-68.767,9.768,-18.364,-61.734,-76.581,21.49,-26.178,-57.827,-18.364,-6.252,-22.662,36.728,32.43,-25.397,-26.178
-9.377,-36.337,28.523,21.49,-12.503,-21.099,4.689,34.383,-73.065,12.503,-19.145,-52.747,-71.502,14.066,-22.662,-53.529,-14.847,-1.172,-27.741,42.979,32.43,-21.099,-22.662
-23.443,-46.105,31.648,41.026,-27.35,-39.463,13.675,56.654,-66.813,15.629,-31.258,-25.397,-66.422,28.132,-24.615,-44.933,-12.112,2.735,-30.867,30.085,53.919,-10.94,-24.615
-28.523,-46.496,37.509,35.556,-32.43,-47.277,16.801,61.734,-81.661,14.847,-28.913,-36.337,-91.038,49.231,-23.053,-66.813,-10.159,5.079,-36.728,11.331,80.098,-6.252,-23.053
-12.894,-37.509,46.105,16.41,-18.364,-37.118,25.788,41.416,-73.846,22.662,-10.94,-56.264,-82.051,58.999,-12.894,-82.442,-2.735,19.145,-45.324,14.457,76.972,-6.252,-12.894
-1.954,-36.337,37.509,17.973,-8.596,-24.615,22.271,28.523,-69.548,20.708,4.298,-58.608,-69.939,42.198,-15.238,-59.78,-12.112,33.211,-36.728,38.681,40.244,-17.192,-15.238
10.549,-32.039,33.602,14.847,4.298,-17.192,19.145,21.49,-76.972,18.755,12.503,-66.813,-75.8,39.853,-17.973,-58.217,-17.582,39.072,-32.821,42.589,31.258,-20.708,-17.973
17.582,-32.821,28.913,10.94,8.987,-14.066,16.02,13.675,-78.926,17.582,16.02,-60.952,-71.111,30.085,-8.596,-55.873,-22.271,43.761,-28.132,54.31,11.722,-21.88,-8.596
7.424,-34.383,24.225,17.582,-4.298,-18.364,18.364,20.708,-86.74,13.675,11.331,-54.701,-74.628,23.834,-13.284,-50.012,-29.304,46.886,-23.443,61.734,0,-23.053,-13.284
-12.894,-34.774,26.569,20.317,-26.96,-24.615,22.271,28.913,-95.336,8.205,5.47,-56.654,-85.568,27.741,-15.629,-64.469,-30.867,47.668,-25.788,51.575,15.629,-22.662,-15.629
-25.006,-33.211,29.695,9.768,-46.496,-23.053,25.397,25.397,-77.753,5.861,5.079,-55.092,-69.158,28.523,-16.801,-63.297,-31.258,47.277,-28.913,51.966,7.814,-19.927,-16.801
-28.523,-31.648,30.867,10.159,-54.701,-19.536,28.913,26.96,-71.502,2.735,1.172,-46.496,-58.999,20.708,-29.304,-45.324,-28.913,49.621,-30.085,55.873,5.079,-24.615,-29.304
-37.9,-30.867,30.085,10.94,-63.687,-22.662,28.132,30.867,-79.707,0.781,-5.861,-58.999,-70.33,20.317,-36.728,-57.827,-31.258,42.589,-29.304,44.542,13.675,-25.397,-36.728
0.391,-23.053,27.741,2.735,-21.49,-24.615,25.397,30.085,-76.972,-0.391,-9.768,-76.972,-81.27,30.085,-33.602,-80.488,-30.867,35.556,-26.96,36.728,12.112,-24.225,-33.602
-0.781,-26.178,26.569,-2.735,-21.88,-26.569,23.443,21.88,-70.72,-0.391,-10.549,-75.018,-64.86,15.629,-36.728,-71.502,-32.43,35.165,-25.788,52.357,-0.781,-31.258,-36.728
-0.781,-35.165,13.284,8.596,-21.099,-32.039,19.536,20.708,-86.349,-1.172,-14.847,-69.158,-66.813,1.954,-42.589,-64.86,-35.946,32.039,-12.503,66.032,-3.126,-35.556,-42.589
1.172,-34.383,10.549,9.377,-24.615,-35.946,11.722,34.774,-92.21,-1.954,-21.88,-76.972,-84.396,18.364,-41.807,-86.74,-37.9,20.708,-9.768,52.357,1.954,-27.741,-41.807
-37.509,-35.946,12.894,13.675,-68.376,-39.463,11.331,50.012,-66.422,0.391,-31.648,-77.363,-66.813,34.383,-46.886,-96.508,-36.728,17.582,-12.112,39.463,15.629,-19.145,-46.886
-53.919,-48.059,2.344,37.9,-94.164,-48.84,20.317,60.562,-100.806,7.424,-47.277,-54.31,-87.131,32.43,-55.873,-85.177,-27.35,19.145,-1.563,40.244,30.867,-17.582,-55.873
-76.972,-42.198,18.755,23.834,-119.56,-52.357,31.648,62.906,-123.858,13.675,-39.463,-69.158,-100.415,49.231,-53.529,-114.872,-19.145,17.973,-17.973,21.49,58.608,-18.755,-53.529
-14.457,-29.695,31.258,4.298,-55.482,-39.463,35.165,51.575,-104.713,12.894,-34.383,-92.21,-93.773,63.687,-60.952,-127.766,-15.238,24.615,-30.476,20.708,47.668,-6.642,-60.952
1.563,-28.523,35.165,9.377,-35.556,-25.006,29.304,49.231,-105.885,12.112,-35.556,-89.475,-112.527,44.933,-33.211,-117.216,-19.927,30.476,-34.383,40.635,-1.954,-0.781,-33.211
28.913,-23.443,28.132,5.47,-1.563,-21.88,26.96,35.946,-108.23,6.642,-21.88,-104.322,-115.263,44.933,-36.337,-121.514,-25.006,34.383,-27.35,51.184,9.377,-30.085,-36.337
-12.112,-30.476,17.192,1.563,-45.714,-26.178,22.271,26.569,-89.084,-6.642,-4.298,-100.806,-67.595,40.244,-73.846,-101.197,-38.291,33.211,-16.41,64.469,28.132,-58.217,-73.846
-19.145,-42.198,0.391,15.238,-52.357,-35.946,18.364,25.006,-64.469,-17.582,-3.516,-86.74,-28.913,28.913,-80.488,-93.773,-46.886,29.695,0.391,73.065,30.867,-58.608,-80.488
6.252,-37.9,11.722,7.814,-27.35,-33.993,26.96,22.662,-101.197,-26.569,15.629,-80.879,-42.198,38.681,-100.806,-88.694,-44.933,32.821,-10.94,66.422,87.912,-92.991,-100.806
-24.615,-46.496,4.689,10.549,-76.972,-30.867,26.96,26.178,-141.05,-35.165,32.821,-84.396,-19.927,30.867,-157.851,-81.661,-44.151,32.039,-3.907,76.972,96.508,-82.051,-157.851
-14.847,-40.635,22.662,11.722,-58.217,-19.927,31.648,24.615,-65.25,-25.788,-32.039,-100.806,-55.092,23.443,-100.024,-93.382,-41.026,28.132,-21.88,71.502,2.344,5.47,-100.024
-3.126,-30.476,30.867,9.377,-39.853,-4.298,32.821,17.973,-79.707,-3.907,-41.416,-101.978,-81.661,20.317,-69.548,-96.899,-29.304,30.476,-30.085,66.422,11.331,-8.596,-69.548
-53.919,-29.695,25.788,8.205,-95.726,-0.391,32.039,14.066,-89.084,1.563,-38.291,-129.328,-97.68,23.834,-45.324,-136.752,-27.741,26.96,-25.006,59.78,13.675,-11.722,-45.324
-112.527,-26.178,14.066,0.391,-144.957,-2.344,24.615,-1.954,-31.258,7.424,-41.807,-155.507,-62.906,37.509,-36.337,-160.195,-27.35,23.443,-13.284,48.449,10.549,-3.516,-36.337
-27.35,-16.41,30.085,4.689,-49.231,6.642,31.258,2.344,-44.542,12.503,-17.973,-125.031,-46.496,30.476,-15.629,-143.785,-19.536,33.602,-29.304,48.059,37.118,-25.397,-15.629
15.629,-23.443,30.476,14.847,-15.238,3.907,38.291,10.94,-55.482,8.205,-4.298,-107.448,-37.118,30.867,-26.569,-126.593,-14.066,37.509,-29.695,53.138,45.714,-29.304,-26.569
-20.708,-16.02,29.304,21.88,-44.933,-1.954,36.728,24.225,-17.582,3.516,-14.457,-111.746,-19.927,53.529,-36.728,-137.143,-14.847,33.602,-28.523,30.476,64.86,-9.768,-36.728
-63.297,-22.662,35.946,38.681,-85.177,-16.41,41.416,49.231,-41.026,14.847,-34.383,-99.243,-55.482,69.158,-28.913,-144.176,-8.987,31.648,-35.165,9.377,88.303,0.391,-28.913
-52.747,-30.476,41.807,35.556,-82.442,-16.02,55.482,36.728,-7.424,20.708,-23.053,-111.746,-15.629,66.422,-20.708,-151.209,7.033,39.853,-41.026,20.708,95.336,-12.503,-20.708
-80.488,-27.35,42.979,21.099,-120.733,1.563,62.125,13.284,-21.88,33.211,-5.861,-144.567,-18.364,76.581,-30.476,-166.056,18.755,42.979,-42.198,24.615,100.806,-8.205,-30.476
-81.27,-29.695,41.416,13.675,-128.547,27.741,47.277,-1.563,-81.661,38.291,7.033,-139.487,-63.687,60.562,-33.993,-138.315,29.304,47.277,-40.635,42.979,74.628,-12.894,-33.993
-5.079,-25.006,47.668,-0.781,-58.217,42.589,47.277,-16.41,-94.945,36.728,17.192,-139.487,-73.455,42.198,-36.337,-111.355,39.853,53.919,-46.886,58.217,51.575,-26.569,-36.337
1.563,-12.112,39.463,1.563,-44.151,47.668,46.496,-19.145,-100.024,25.397,24.225,-145.348,-97.289,53.138,-41.416,-109.011,39.463,55.482,-38.681,50.012,57.827,-26.569,-41.416
-105.104,-9.377,30.867,2.735,-149.255,47.668,41.416,-20.708,-46.105,27.741,23.834,-139.878,-42.198,55.482,-42.198,-103.541,40.635,52.357,-30.085,45.324,58.999,-28.523,-42.198
-119.56,-10.549,28.913,0,-161.368,42.979,44.542,-27.741,15.238,29.695,21.49,-138.706,16.41,39.853,-30.085,-96.899,46.496,49.231,-28.132,51.966,51.575,-46.496,-30.085
-28.523,-7.033,47.277,-0.781,-61.734,43.37,55.092,-26.569,52.357,35.946,32.43,-154.335,45.324,45.324,-8.987,-113.7,58.217,49.621,-46.496,39.072,57.827,-43.37,-8.987
-18.364,-8.205,48.84,3.126,-69.548,62.515,57.827,-24.225,7.424,55.092,41.026,-159.805,16.801,46.886,-7.033,-110.965,76.581,51.575,-48.059,40.244,51.575,-47.277,-7.033
-2.344,-18.364,88.694,-9.768,-61.734,67.985,69.548,-19.145,-69.939,33.602,42.979,-141.441,-69.158,19.927,-13.284,-70.72,89.084,53.919,-87.912,47.277,48.059,-61.343,-13.284
35.165,-10.159,105.885,-6.252,-12.894,68.376,79.707,-10.549,-101.197,21.49,54.31,-133.236,-104.322,0.781,6.252,-60.562,103.541,58.999,-105.104,33.993,62.125,-74.628,6.252
-14.066,3.126,105.885,-7.814,-64.078,85.177,75.409,-10.159,-72.283,27.741,62.515,-154.725,-81.27,18.364,10.94,-83.614,103.15,53.138,-105.104,28.132,53.529,-60.952,10.94
-32.039,7.424,95.336,1.563,-67.204,80.488,63.297,-4.689,-30.085,23.443,57.827,-161.758,-52.747,28.913,1.954,-88.303,102.369,41.416,-94.554,20.708,41.807,-37.9,1.954
-13.284,9.377,87.912,14.066,-22.662,61.343,66.032,-6.252,41.807,29.304,59.389,-159.414,17.192,22.662,18.755,-87.912,114.872,40.244,-87.131,24.615,44.151,-46.105,18.755
6.642,7.814,92.991,18.364,-16.02,71.893,74.628,-4.689,37.118,59.78,62.906,-163.712,30.867,41.807,18.364,-94.554,137.534,41.416,-92.21,17.582,43.37,-24.615,18.364
-0.781,-5.079,88.694,35.165,-16.801,39.463,68.767,25.788,-3.907,55.482,45.714,-156.679,-34.383,75.8,6.252,-106.667,150.037,28.132,-87.912,-8.987,66.422,-6.252,6.252
-13.284,-7.814,107.839,21.099,-41.026,43.37,83.223,21.49,-31.648,51.184,53.529,-169.573,-73.846,76.581,23.053,-121.123,163.321,28.913,-107.057,-16.02,84.396,-16.801,23.053
-10.549,0.391,109.011,7.814,-42.979,58.999,92.21,-1.954,-6.252,62.515,74.237,-192.234,-33.993,81.661,10.94,-119.17,182.466,40.635,-108.23,3.516,58.999,-11.722,10.94
1.563,2.344,99.243,17.582,-23.053,67.204,83.614,-7.033,-0.391,59.78,85.177,-193.016,-28.132,55.092,22.662,-97.68,179.341,41.026,-98.462,25.006,30.085,-30.085,22.662
-1.563,11.722,105.885,16.41,-6.642,66.813,84.005,-10.94,17.973,54.31,94.164,-190.281,-19.927,52.357,21.099,-77.363,187.937,47.668,-105.104,30.867,13.284,-23.834,21.099
-9.377,14.847,110.574,23.443,-7.424,71.111,87.912,-11.722,48.84,51.966,100.806,-195.751,8.205,34.383,34.383,-69.939,196.142,55.873,-109.792,37.118,16.02,-42.979,34.383
-56.654,8.987,110.965,37.118,-47.277,61.343,88.694,-1.563,17.192,55.873,99.243,-198.486,-34.383,32.43,46.496,-68.767,196.923,55.092,-110.183,32.039,13.284,-40.635,46.496
-27.35,10.159,126.203,41.026,-15.629,60.562,95.726,8.987,-13.675,60.562,100.415,-191.844,-74.628,47.277,46.886,-62.906,199.658,55.482,-125.421,22.271,17.192,-20.708,46.886
10.549,12.503,131.282,45.714,17.973,71.111,105.885,5.079,-15.238,64.469,105.885,-192.625,-75.8,37.118,57.436,-54.701,206.3,62.515,-130.501,26.178,19.536,-24.225,57.436
-28.913,8.596,130.11,59.78,-26.569,75.409,109.402,9.768,-11.331,76.972,108.23,-198.486,-71.893,42.198,62.125,-55.873,212.161,63.687,-129.328,28.523,17.973,-21.49,62.125
11.722,12.894,136.361,67.595,15.238,76.581,113.7,22.662,-28.913,80.098,105.885,-196.923,-96.899,49.621,64.86,-56.654,213.724,64.86,-135.58,20.708,15.629,-11.722,64.86
16.02,12.503,139.487,73.065,21.49,76.19,121.123,21.88,-8.205,83.614,106.667,-188.327,-70.72,42.589,65.25,-43.37,219.585,72.674,-138.706,26.178,10.94,-9.377,65.25
-66.813,5.861,133.626,75.8,-58.999,72.674,121.905,13.284,-20.708,80.488,106.276,-194.579,-72.674,28.913,47.668,-32.43,214.505,68.767,-132.845,38.681,12.112,-16.41,47.668
-106.276,2.344,123.858,83.223,-89.475,60.171,113.7,18.755,-78.926,80.488,97.68,-201.221,-133.626,40.635,28.913,-37.118,202.393,55.482,-123.077,33.211,17.582,-11.331,28.913
-65.25,1.954,119.56,91.429,-45.324,53.529,110.183,29.695,-22.662,66.422,88.694,-193.797,-87.521,49.231,15.629,-37.9,195.751,48.84,-118.779,23.443,37.118,-8.205,15.629
-57.827,-9.377,101.197,104.322,-39.072,39.853,115.653,20.317,10.159,60.952,78.926,-189.89,-50.794,41.416,-1.954,-25.788,191.062,47.668,-100.415,34.383,50.403,-18.755,-1.954
-67.204,-22.271,85.958,123.077,-52.357,18.755,119.17,32.821,-6.642,67.204,62.515,-159.414,-61.734,46.496,-10.94,-9.768,180.904,44.542,-85.177,29.304,54.701,-9.377,-10.94
12.894,-10.549,106.667,110.965,23.443,25.006,122.295,47.277,-25.788,67.204,65.641,-158.632,-93.382,57.045,2.735,-17.192,184.42,47.277,-105.885,11.722,42.589,4.298,2.735
1.954,-2.735,96.899,101.587,13.284,31.648,126.984,25.006,-39.853,78.144,77.753,-185.592,-102.759,58.608,1.172,-26.178,192.625,53.919,-96.117,18.755,34.383,0.391,1.172
-65.641,-3.126,87.521,98.462,-54.701,44.542,119.951,7.033,-97.289,85.177,93.773,-188.718,-146.911,44.542,1.172,-5.861,184.42,57.436,-86.74,40.635,-0.391,-3.126,1.172
-62.515,5.47,94.554,93.382,-44.933,52.747,115.263,7.814,-62.906,72.674,101.587,-193.797,-122.295,39.853,7.424,-7.033,179.731,56.264,-93.773,37.9,4.298,-8.987,7.424
-40.244,3.126,84.786,92.21,-22.662,53.138,108.23,1.172,0.391,68.376,100.024,-187.937,-57.827,32.039,10.159,-3.126,169.573,56.264,-84.005,41.026,6.252,-15.629,10.159
-57.827,-1.954,74.628,96.508,-44.151,50.012,102.759,1.954,0.391,63.297,96.117,-181.294,-55.482,25.006,16.41,-5.861,153.553,54.31,-73.846,41.807,6.252,-17.192,16.41
-73.455,6.252,94.554,85.177,-51.966,40.635,103.15,21.49,-2.344,58.608,95.336,-180.513,-71.502,31.258,24.615,-12.503,150.427,53.529,-93.773,26.569,0.781,-10.159,24.615
-22.271,9.768,90.256,82.833,-0.781,37.9,100.415,21.88,11.722,57.045,95.726,-176.215,-62.125,33.602,27.35,-9.377,155.507,50.403,-89.475,29.695,-13.284,-7.424,27.35
-21.88,10.159,82.442,80.098,3.126,34.383,98.071,15.629,13.675,54.701,95.726,-167.619,-53.529,27.741,21.88,2.344,156.679,44.151,-81.661,32.43,-12.112,-12.112,21.88
-32.821,7.814,75.409,77.753,-8.987,24.615,92.21,20.317,-6.252,50.794,94.164,-177.387,-77.753,31.258,21.49,-12.112,153.162,33.993,-74.628,26.96,-11.722,-14.457,21.49
11.722,0.391,63.297,71.893,28.913,17.973,86.74,14.066,-3.907,44.933,89.866,-195.751,-73.065,33.993,10.549,-34.383,146.52,24.225,-62.515,25.788,4.298,-23.053,10.549
14.457,-1.563,53.919,64.078,30.085,17.192,84.786,-1.172,-28.132,41.807,89.475,-192.234,-73.065,3.907,13.284,-32.039,137.924,22.271,-53.138,37.9,6.252,-37.9,13.284
-66.813,-13.675,49.231,57.436,-57.045,7.424,79.707,-3.907,-53.138,36.337,84.005,-185.983,-75.409,-16.41,1.954,-26.96,123.858,16.41,-48.449,52.357,-2.344,-42.979,1.954
-55.092,-15.238,44.542,55.092,-42.198,-5.079,69.548,6.642,-50.012,26.178,73.846,-194.969,-82.442,-1.954,-5.47,-52.747,116.825,0.781,-43.761,38.291,6.642,-33.211,-5.47
-63.687,-16.801,42.198,55.092,-53.529,-9.768,66.032,14.457,-48.449,24.225,63.687,-193.407,-88.694,11.722,2.344,-78.144,117.216,-7.814,-41.416,28.132,16.801,-24.615,2.344
-66.422,-30.476,30.867,64.86,-67.985,-26.96,69.548,23.834,-36.337,21.099,41.807,-169.182,-69.548,6.252,-5.47,-71.502,115.653,-14.457,-30.085,32.821,6.642,-20.317,-5.47
-35.556,-33.602,37.118,59.389,-41.416,-33.602,78.144,24.225,-25.006,18.755,39.072,-184.42,-68.376,18.364,9.377,-109.402,116.435,-21.88,-36.337,15.629,25.788,-13.675,9.377
-30.867,-21.099,39.463,40.244,-42.589,-18.364,78.535,10.549,-5.47,19.927,45.714,-202.002,-56.264,23.834,24.615,-132.845,118.388,-19.927,-38.681,19.927,13.675,-19.145,24.615
-45.714,-14.847,35.556,37.9,-57.436,-8.987,71.111,8.205,-20.317,8.987,50.403,-185.983,-60.952,-4.689,34.383,-113.7,107.057,-17.973,-34.774,37.9,-17.582,-31.258,34.383
-24.615,-15.629,36.337,37.9,-28.523,-8.596,67.595,3.516,-35.165,3.516,53.529,-194.188,-71.111,7.814,14.457,-122.295,99.243,-21.099,-35.556,37.509,-8.205,-16.02,14.457
-9.377,-14.457,33.211,37.9,-9.377,-5.861,61.734,1.563,-36.728,1.954,54.701,-185.201,-76.19,14.457,16.41,-118.388,91.819,-25.006,-32.43,41.807,-18.755,-10.94,16.41
-24.615,-18.755,32.43,42.979,-23.053,-8.205,57.436,5.861,-34.774,5.47,44.933,-160.586,-64.86,6.252,18.755,-103.15,90.647,-30.476,-31.648,38.291,-20.317,-10.549,18.755
3.516,-25.006,30.085,44.542,3.516,-11.722,55.482,6.252,-30.476,5.861,35.946,-159.023,-60.171,10.159,14.066,-110.965,89.475,-38.681,-29.304,38.291,-19.145,-5.47,14.066
10.159,-21.099,36.337,37.118,6.642,-5.861,56.654,5.079,-14.457,7.033,35.556,-163.321,-53.138,14.457,26.96,-121.905,88.303,-41.026,-35.556,33.993,-24.225,-5.861,26.96
-7.033,-19.927,37.118,35.556,-14.066,-1.954,54.31,9.377,-12.503,3.907,32.43,-144.567,-44.542,0.781,25.788,-101.587,88.303,-41.416,-36.337,37.509,-28.132,-16.41,25.788
-2.735,-24.615,35.946,39.463,-12.112,-2.344,53.138,9.768,-18.364,-1.954,28.132,-128.156,-43.37,3.516,8.596,-88.303,83.614,-42.979,-35.165,38.681,-24.225,0,8.596
11.331,-26.178,31.648,35.556,1.172,-3.907,49.231,7.033,-37.118,-14.457,27.35,-137.143,-72.283,7.033,1.954,-98.462,73.455,-52.357,-30.867,33.993,-15.629,0,1.954
-35.946,-32.43,24.225,29.695,-50.012,-5.47,40.635,1.172,-31.648,-18.364,26.96,-141.05,-69.548,6.252,-1.563,-98.852,66.032,-59.389,-23.443,31.648,-9.377,-10.549,-1.563
-16.41,-36.337,19.536,37.509,-28.913,-3.907,38.291,0.391,-12.503,-17.582,26.569,-119.951,-36.337,-12.112,4.298,-78.926,62.906,-60.562,-18.755,41.807,-10.94,-17.582,4.298
34.383,-42.589,14.847,43.761,25.397,-11.331,35.946,2.344,-14.847,-16.801,26.569,-106.276,-33.993,-17.582,9.377,-69.939,58.217,-66.032,-14.066,42.589,0,-27.741,9.377
-17.192,-44.933,7.814,50.794,-21.49,-25.788,25.788,18.364,-25.397,-13.675,21.49,-104.713,-56.654,0,19.536,-85.177,50.403,-76.972,-7.033,17.973,13.284,-19.927,19.536
-41.416,-47.668,8.596,67.985,-40.635,-47.277,23.443,52.357,-36.728,-9.377,6.252,-89.866,-74.628,21.099,19.145,-95.336,42.589,-86.349,-7.814,-12.112,48.449,-11.722,19.145
-35.946,-51.184,5.861,61.734,-32.43,-55.482,28.523,40.244,-45.714,-10.94,5.079,-84.005,-78.144,16.801,17.582,-92.991,47.668,-87.131,-5.079,-7.033,50.403,-8.987,17.582
-44.542,-50.794,8.596,41.026,-43.761,-52.747,32.821,19.145,-53.529,-10.94,12.112,-101.978,-85.177,11.331,17.582,-98.071,44.933,-90.256,-7.814,-3.516,42.979,-12.894,17.582
-49.231,-46.886,0.391,28.913,-54.701,-35.556,14.066,10.159,-29.304,-20.708,19.145,-88.694,-55.873,-14.066,24.615,-73.455,34.774,-87.521,0.391,19.927,4.689,-32.43,24.615
20.708,-42.979,-1.172,20.317,8.596,-22.662,9.377,1.563,-1.563,-24.225,29.304,-82.051,-19.145,-32.43,30.867,-58.608,34.383,-80.488,1.954,41.807,-25.788,-43.37,30.867
21.099,-44.542,-2.344,18.755,8.987,-23.834,5.47,3.126,-8.205,-30.085,36.728,-84.396,-25.397,-38.291,30.867,-52.357,23.053,-78.926,3.126,41.807,-32.821,-46.886,30.867
-3.126,-45.324,-4.689,23.443,-17.973,-23.443,-0.781,14.066,0.781,-27.741,36.337,-72.674,-22.662,-32.821,36.728,-43.761,14.457,-77.753,5.47,37.9,-41.807,-44.151,36.728
2.344,-45.324,3.126,27.741,-1.954,-30.476,3.126,19.145,-7.814,-26.96,31.648,-65.641,-26.569,-35.946,31.648,-37.509,14.457,-76.19,-2.344,26.178,-16.41,-44.542,31.648
4.689,-46.496,4.298,24.615,2.344,-34.774,7.424,13.284,1.172,-28.523,31.258,-82.442,-23.834,-39.072,37.118,-51.575,7.814,-76.972,-3.516,23.443,-9.377,-50.403,37.118
